koi_period,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_steff,koi_slogg,koi_srad,koi_kepmag,koi_disposition,koi_prad_log,koi_depth_log,koi_teq_log
7.21203748,4.0491,950.4,3.32,1025.0,260.58,51.5,0,0,0,0,6214.0,4.442,1.076,15.541,CONFIRMED,1.463255402256019,6.857934583998181,6.933423025730715
14.1798187,2.505,459.9,1.88,711.0,60.35,11.2,0,0,0,1,5799.0,4.539,0.878,15.727,FALSE POSITIVE,1.0577902941478545,6.133181099726462,6.568077911411976
8.47237911,2.7245,1123.5,2.59,751.0,75.44,47.6,0,0,0,0,5354.0,4.587,0.788,15.339,CONFIRMED,1.2781522025001875,7.02509377139937,6.62273632394984
60.4189369,5.039,931.3,2.36,390.0,5.49,20.1,0,0,0,0,5354.0,4.587,0.788,15.339,CONFIRMED,1.2119409739751128,6.837654651302648,5.968707559985366
12.611904345,5.1497,3104.2375,7.4,753.0,76.15,159.3625,0,0,0,0,5795.0,4.508,0.919,15.14,CONFIRMED,2.128231705849268,8.717125432469853,6.625392368007956
1.433769925,1.8868,1976.3,30.636249999999997,1920.0,1983.7537500000003,112.6,0,1,0,0,6017.0,4.22,1.339,15.122,FALSE POSITIVE,3.8624125048748117,7.589487556726784,7.560601162768557
10.31872301,3.836,871.7,28.59,876.0,139.26,38.2,0,1,1,0,5927.0,4.409,1.06,15.065,FALSE POSITIVE,3.3874364664121184,6.771591854169266,6.776506992372183
2.539183147,2.4282,382.1,2.06,1332.0,743.09,38.9,0,0,0,0,5519.0,4.35,1.062,15.026,CONFIRMED,1.1184149159642893,5.9482960517066035,7.195187320178709
6.770300385,2.0844,1304.0,2.77,812.0,102.87,50.8,0,0,0,0,5653.0,4.656,0.679,15.591,CONFIRMED,1.3270750014599193,7.173958319756794,6.70073110954781
0.444291966,2.0792,3104.2375,27.51,1836.0,1983.7537500000003,159.3625,0,1,1,1,5255.0,4.678,0.636,15.748,FALSE POSITIVE,3.3502549029245805,9.30273722124215,7.515889085215125
10.181584004,3.5089,3104.2375,7.73,812.0,102.91,159.3625,0,0,0,0,5988.0,4.541,0.836,15.657,CANDIDATE,2.166765369851511,8.655580276064018,6.70073110954781
20.06036336,3.3203,1494.7,1.96,361.0,4.0,35.2,0,0,0,0,4184.0,4.754,0.493,15.954,CONFIRMED,1.085189268335969,7.310349603665281,5.891644211825771
46.1842039,4.758,1394.7,1.83,273.0,1.32,26.0,0,0,0,0,4184.0,4.754,0.493,15.954,CONFIRMED,1.0402767116551463,7.241151360514599,5.6131281063880705
23.9800854,5.351,104.0,1.31,649.0,41.94,17.1,0,0,0,0,5854.0,4.406,1.012,12.882,CONFIRMED,0.8372475245337022,4.653960350157523,6.476972362889683
7.82502168,2.186,520.8,1.2,494.0,14.05,15.9,0,0,0,0,4184.0,4.754,0.493,15.954,CONFIRMED,0.7884573603642702,6.257284372702628,6.20455776256869
3.895936525,2.3111,3104.2375,7.34,1005.0,241.62,159.3625,0,0,0,0,5557.0,4.592,0.774,15.725,CONFIRMED,2.1210632163706555,9.053195213168596,6.913737350659685
22.36646466,5.228,986.8,2.32,536.0,19.45,32.1,0,0,0,0,5395.0,4.615,0.734,15.583,CONFIRMED,1.199964782928397,6.895480248106525,6.285998094508865
